Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,224.0,23.66%,32.14%,47.32%,24.55%,4.02%,19.64%,6.70%,5.80%,5.80%,1.34%,0.89%
Sinker,6.0,50.00%,33.33%,33.33%,0.00%,16.67%,16.67%,16.67%,0.00%,0.00%,0.00%,0.00%
Slider,49.0,34.69%,40.82%,36.73%,10.20%,12.24%,14.29%,6.12%,2.04%,4.08%,2.04%,2.04%
Curve,11.0,27.27%,54.55%,36.36%,9.09%,18.18%,9.09%,0.00%,0.00%,0.00%,9.09%,0.00%
Cutter,68.0,23.53%,36.76%,51.47%,13.24%,11.76%,26.47%,8.82%,1.47%,11.76%,4.41%,0.00%
Split,11.0,36.36%,54.55%,54.55%,9.09%,45.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
