Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,617.0,29.50%,35.17%,43.11%,18.48%,8.43%,16.05%,7.78%,4.38%,2.59%,1.30%,0.81%
Sinker,24.0,41.67%,20.83%,37.50%,16.67%,0.00%,20.83%,4.17%,8.33%,8.33%,0.00%,0.00%
Change,2.0,0.00%,50.00%,100.00%,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%
Slider,259.0,31.66%,40.93%,42.08%,11.20%,15.06%,16.22%,7.34%,4.25%,3.09%,1.54%,1.16%
Curve,50.0,38.00%,52.00%,12.00%,6.00%,2.00%,4.00%,0.00%,2.00%,2.00%,0.00%,0.00%
Cutter,136.0,36.03%,27.94%,44.12%,16.91%,8.09%,19.12%,10.29%,2.94%,4.41%,1.47%,0.74%
Split,93.0,29.03%,33.33%,58.06%,23.66%,20.43%,13.98%,9.68%,1.08%,3.23%,0.00%,3.23%
