Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,397.0,46.85%,15.11%,45.34%,22.42%,8.06%,14.86%,9.07%,3.78%,1.51%,0.50%,0.25%
Sinker,15.0,33.33%,13.33%,66.67%,33.33%,13.33%,20.00%,20.00%,0.00%,0.00%,0.00%,0.00%
Change,2.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,246.0,43.50%,17.48%,53.66%,13.41%,14.63%,25.20%,14.63%,5.69%,3.25%,1.63%,0.41%
Curve,100.0,37.00%,17.00%,61.00%,22.00%,15.00%,24.00%,12.00%,4.00%,7.00%,1.00%,3.00%
Cutter,43.0,44.19%,13.95%,48.84%,18.60%,6.98%,23.26%,11.63%,6.98%,4.65%,0.00%,0.00%
Split,164.0,45.12%,23.17%,52.44%,17.07%,21.34%,14.02%,7.32%,4.27%,1.83%,0.61%,0.00%
