Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,346.0,14.16%,14.74%,76.30%,33.24%,6.36%,36.71%,17.05%,9.25%,8.96%,1.45%,1.16%
Sinker,18.0,38.89%,0.00%,55.56%,22.22%,0.00%,33.33%,5.56%,16.67%,5.56%,5.56%,0.00%
Slider,85.0,17.65%,28.24%,78.82%,21.18%,24.71%,32.94%,17.65%,3.53%,8.24%,3.53%,2.35%
Curve,20.0,30.00%,10.00%,65.00%,15.00%,5.00%,45.00%,15.00%,15.00%,15.00%,0.00%,5.00%
Cutter,84.0,10.71%,11.90%,79.76%,33.33%,3.57%,42.86%,21.43%,5.95%,10.71%,4.76%,2.38%
Split,50.0,32.00%,24.00%,66.00%,16.00%,22.00%,28.00%,18.00%,4.00%,4.00%,2.00%,2.00%
