Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,307.0,25.08%,22.80%,60.91%,25.41%,8.79%,26.71%,10.10%,7.49%,7.17%,1.95%,0.00%
Sinker,14.0,21.43%,14.29%,57.14%,28.57%,0.00%,35.71%,28.57%,7.14%,0.00%,0.00%,0.00%
Slider,121.0,28.93%,29.75%,57.02%,19.01%,15.70%,22.31%,9.92%,5.79%,5.79%,0.83%,0.83%
Curve,21.0,28.57%,42.86%,61.90%,19.05%,33.33%,9.52%,4.76%,0.00%,4.76%,0.00%,0.00%
Cutter,95.0,22.11%,26.32%,65.26%,25.26%,13.68%,26.32%,6.32%,11.58%,7.37%,1.05%,2.11%
Split,67.0,28.36%,40.30%,62.69%,13.43%,32.84%,16.42%,11.94%,2.99%,0.00%,1.49%,0.00%
