Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,77.0,32.47%,59.74%,10.39%,3.90%,2.60%,3.90%,1.30%,1.30%,1.30%,0.00%,0.00%
Sinker,3.0,0.00%,66.67%,33.33%,0.00%,0.00%,33.33%,0.00%,0.00%,33.33%,0.00%,0.00%
Slider,4.0,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,10.0,20.00%,60.00%,20.00%,10.00%,0.00%,10.00%,10.00%,0.00%,0.00%,0.00%,0.00%
Split,1.0,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
