Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,401.0,29.43%,17.21%,65.34%,30.42%,12.22%,22.94%,13.97%,5.24%,2.99%,0.75%,0.25%
Sinker,17.0,29.41%,11.76%,70.59%,17.65%,11.76%,41.18%,29.41%,5.88%,5.88%,0.00%,5.88%
Change,2.0,0.00%,50.00%,50.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%
Slider,222.0,31.08%,18.02%,65.32%,18.02%,14.41%,32.88%,19.37%,3.60%,7.66%,2.25%,0.90%
Curve,89.0,30.34%,34.83%,65.17%,21.35%,30.34%,13.48%,5.62%,3.37%,3.37%,1.12%,1.12%
Cutter,87.0,33.33%,14.94%,60.92%,33.33%,9.20%,18.39%,10.34%,2.30%,5.75%,0.00%,1.15%
Split,193.0,36.27%,21.76%,61.66%,19.17%,20.73%,21.76%,13.99%,4.66%,1.55%,1.55%,0.52%
