Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,482.0,34.65%,15.77%,59.75%,26.14%,10.58%,23.03%,9.75%,6.43%,4.77%,2.07%,0.83%
Sinker,19.0,26.32%,10.53%,68.42%,21.05%,10.53%,42.11%,26.32%,15.79%,0.00%,0.00%,0.00%
Change,1.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,316.0,38.29%,17.72%,58.23%,18.04%,14.24%,25.95%,14.24%,3.80%,5.70%,2.22%,0.63%
Curve,120.0,40.00%,18.33%,58.33%,19.17%,16.67%,22.50%,9.17%,4.17%,5.00%,4.17%,0.00%
Cutter,69.0,28.99%,17.39%,63.77%,24.64%,11.59%,27.54%,17.39%,1.45%,5.80%,2.90%,1.45%
Split,261.0,32.95%,25.67%,64.75%,21.46%,24.14%,19.16%,9.96%,5.36%,3.07%,0.77%,1.15%
