Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,566.0,31.80%,21.38%,54.95%,26.33%,8.66%,20.14%,9.36%,4.42%,4.77%,1.59%,0.88%
Sinker,28.0,42.86%,10.71%,50.00%,32.14%,3.57%,14.29%,7.14%,7.14%,0.00%,0.00%,0.00%
Change,4.0,25.00%,50.00%,25.00%,0.00%,0.00%,25.00%,0.00%,0.00%,25.00%,0.00%,0.00%
Slider,271.0,36.90%,22.88%,55.72%,14.39%,15.50%,25.46%,11.44%,6.64%,5.54%,1.85%,1.48%
Curve,75.0,36.00%,30.67%,49.33%,9.33%,16.00%,22.67%,10.67%,6.67%,5.33%,0.00%,0.00%
Cutter,106.0,35.85%,28.30%,50.94%,13.21%,15.09%,22.64%,11.32%,6.60%,3.77%,0.94%,1.89%
Split,193.0,33.68%,31.61%,55.44%,19.17%,20.73%,15.54%,11.92%,2.07%,1.04%,0.52%,0.00%
