Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,1690.0,31.95%,42.72%,29.76%,13.61%,4.67%,11.01%,5.09%,3.43%,2.25%,0.24%,0.30%
Sinker,57.0,28.07%,45.61%,26.32%,8.77%,0.00%,17.54%,5.26%,3.51%,7.02%,1.75%,1.75%
Change,2.0,50.00%,50.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,706.0,40.23%,39.52%,31.30%,6.94%,11.90%,13.17%,6.23%,2.97%,2.83%,1.13%,0.28%
Curve,396.0,40.40%,47.98%,21.46%,4.04%,9.85%,7.07%,3.54%,2.27%,1.26%,0.00%,0.25%
Cutter,293.0,42.32%,32.08%,32.08%,11.95%,6.83%,13.31%,4.10%,5.80%,2.05%,1.37%,0.68%
Split,170.0,32.94%,37.65%,47.06%,17.06%,17.65%,12.35%,7.06%,2.94%,1.18%,1.18%,0.00%
