Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,22.0,40.91%,31.82%,45.45%,22.73%,18.18%,4.55%,0.00%,0.00%,4.55%,0.00%,0.00%
Sinker,8.0,50.00%,12.50%,37.50%,25.00%,0.00%,12.50%,12.50%,0.00%,0.00%,0.00%,0.00%
Change,1.0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,3.0,0.00%,66.67%,33.33%,0.00%,0.00%,33.33%,0.00%,33.33%,0.00%,0.00%,0.00%
Curve,2.0,50.00%,50.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,7.0,0.00%,42.86%,57.14%,28.57%,0.00%,28.57%,0.00%,0.00%,28.57%,0.00%,0.00%
Split,1.0,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
