Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,16.0,25.00%,25.00%,62.50%,18.75%,12.50%,31.25%,6.25%,18.75%,6.25%,0.00%,0.00%
Sinker,26.0,26.92%,38.46%,46.15%,15.38%,11.54%,19.23%,3.85%,7.69%,7.69%,0.00%,3.85%
Change,6.0,66.67%,16.67%,33.33%,16.67%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,27.0,33.33%,40.74%,44.44%,18.52%,18.52%,7.41%,0.00%,3.70%,3.70%,0.00%,0.00%
Curve,4.0,75.00%,0.00%,25.00%,0.00%,0.00%,25.00%,0.00%,25.00%,0.00%,0.00%,0.00%
Cutter,13.0,30.77%,30.77%,38.46%,15.38%,0.00%,23.08%,15.38%,0.00%,7.69%,0.00%,0.00%
Split,1.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
