Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,39.0,33.33%,23.08%,56.41%,28.21%,12.82%,15.38%,2.56%,5.13%,7.69%,0.00%,0.00%
Sinker,32.0,37.50%,25.00%,40.63%,12.50%,3.13%,25.00%,15.63%,3.13%,6.25%,0.00%,3.13%
Change,9.0,55.56%,22.22%,33.33%,11.11%,11.11%,11.11%,11.11%,0.00%,0.00%,0.00%,0.00%
Slider,47.0,48.94%,25.53%,38.30%,12.77%,12.77%,12.77%,6.38%,6.38%,0.00%,0.00%,0.00%
Curve,9.0,55.56%,11.11%,44.44%,22.22%,11.11%,11.11%,11.11%,0.00%,0.00%,0.00%,0.00%
Cutter,13.0,46.15%,15.38%,46.15%,23.08%,7.69%,15.38%,0.00%,7.69%,7.69%,0.00%,0.00%
Split,4.0,50.00%,50.00%,25.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
