Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,29.0,51.72%,24.14%,37.93%,13.79%,13.79%,10.34%,3.45%,0.00%,6.90%,0.00%,0.00%
Sinker,31.0,51.61%,12.90%,35.48%,12.90%,3.23%,19.35%,9.68%,6.45%,3.23%,0.00%,0.00%
Change,8.0,25.00%,62.50%,50.00%,12.50%,37.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,61.0,50.82%,27.87%,39.34%,11.48%,18.03%,9.84%,4.92%,0.00%,3.28%,1.64%,0.00%
Curve,11.0,72.73%,9.09%,27.27%,9.09%,9.09%,9.09%,9.09%,0.00%,0.00%,0.00%,0.00%
Cutter,21.0,19.05%,42.86%,57.14%,33.33%,19.05%,4.76%,4.76%,0.00%,0.00%,0.00%,0.00%
Split,5.0,60.00%,0.00%,40.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
