Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,41.0,21.95%,14.63%,78.05%,36.59%,14.63%,26.83%,7.32%,7.32%,7.32%,4.88%,2.44%
Sinker,13.0,46.15%,38.46%,30.77%,7.69%,15.38%,7.69%,7.69%,0.00%,0.00%,0.00%,0.00%
Change,6.0,50.00%,16.67%,50.00%,16.67%,16.67%,16.67%,16.67%,0.00%,0.00%,0.00%,0.00%
Slider,31.0,35.48%,16.13%,61.29%,22.58%,12.90%,25.81%,16.13%,3.23%,3.23%,3.23%,3.23%
Curve,2.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,3.0,0.00%,0.00%,100.00%,33.33%,0.00%,66.67%,33.33%,0.00%,33.33%,0.00%,0.00%
Split,2.0,0.00%,50.00%,100.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
