Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,16.0,62.50%,18.75%,25.00%,12.50%,6.25%,6.25%,0.00%,6.25%,0.00%,0.00%,0.00%
Sinker,14.0,28.57%,50.00%,28.57%,14.29%,7.14%,7.14%,0.00%,7.14%,0.00%,0.00%,7.14%
Change,1.0,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,10.0,20.00%,70.00%,20.00%,0.00%,10.00%,10.00%,0.00%,10.00%,0.00%,0.00%,0.00%
Curve,2.0,50.00%,50.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,5.0,20.00%,80.00%,20.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
