Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,36.0,30.56%,41.67%,47.22%,13.89%,19.44%,13.89%,5.56%,5.56%,2.78%,0.00%,2.78%
Sinker,31.0,41.94%,25.81%,38.71%,25.81%,6.45%,6.45%,6.45%,0.00%,0.00%,0.00%,0.00%
Change,9.0,44.44%,33.33%,22.22%,0.00%,0.00%,22.22%,22.22%,0.00%,0.00%,0.00%,0.00%
Slider,38.0,42.11%,44.74%,26.32%,5.26%,13.16%,7.89%,0.00%,5.26%,2.63%,0.00%,0.00%
Curve,6.0,33.33%,50.00%,66.67%,16.67%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,17.0,5.88%,52.94%,47.06%,17.65%,5.88%,23.53%,11.76%,11.76%,0.00%,0.00%,0.00%
Split,1.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
