Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,27.0,40.74%,14.81%,59.26%,29.63%,14.81%,14.81%,3.70%,0.00%,11.11%,0.00%,3.70%
Sinker,20.0,5.00%,15.00%,85.00%,20.00%,5.00%,60.00%,45.00%,10.00%,0.00%,5.00%,0.00%
Change,17.0,29.41%,23.53%,70.59%,23.53%,23.53%,23.53%,23.53%,0.00%,0.00%,0.00%,0.00%
Slider,42.0,50.00%,16.67%,47.62%,11.90%,14.29%,21.43%,14.29%,0.00%,2.38%,4.76%,0.00%
Curve,9.0,66.67%,11.11%,33.33%,11.11%,11.11%,11.11%,0.00%,0.00%,11.11%,0.00%,0.00%
Cutter,4.0,0.00%,25.00%,100.00%,50.00%,25.00%,25.00%,0.00%,25.00%,0.00%,0.00%,0.00%
Split,3.0,66.67%,33.33%,33.33%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
