Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,19.0,26.32%,21.05%,63.16%,31.58%,15.79%,15.79%,10.53%,0.00%,5.26%,0.00%,0.00%
Sinker,5.0,40.00%,0.00%,60.00%,20.00%,0.00%,40.00%,20.00%,20.00%,0.00%,0.00%,0.00%
Change,9.0,66.67%,11.11%,22.22%,11.11%,0.00%,11.11%,0.00%,0.00%,11.11%,0.00%,0.00%
Slider,36.0,58.33%,8.33%,41.67%,16.67%,8.33%,16.67%,8.33%,2.78%,5.56%,0.00%,0.00%
Curve,8.0,25.00%,50.00%,62.50%,0.00%,37.50%,25.00%,0.00%,12.50%,12.50%,0.00%,0.00%
Cutter,6.0,83.33%,0.00%,16.67%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Split,1.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
