Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,92.0,39.13%,32.61%,39.13%,15.22%,10.87%,13.04%,5.43%,2.17%,4.35%,1.09%,1.09%
Sinker,70.0,38.57%,42.86%,22.86%,8.57%,4.29%,10.00%,4.29%,4.29%,1.43%,0.00%,0.00%
Change,9.0,55.56%,44.44%,22.22%,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,95.0,46.32%,36.84%,27.37%,9.47%,10.53%,7.37%,2.11%,1.05%,4.21%,0.00%,0.00%
Curve,23.0,47.83%,39.13%,26.09%,13.04%,13.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,44.0,34.09%,47.73%,25.00%,11.36%,6.82%,6.82%,0.00%,4.55%,2.27%,0.00%,0.00%
Split,2.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
