Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,28.0,32.14%,14.29%,64.29%,28.57%,10.71%,25.00%,7.14%,14.29%,3.57%,0.00%,0.00%
Sinker,11.0,9.09%,27.27%,81.82%,36.36%,18.18%,27.27%,27.27%,0.00%,0.00%,0.00%,0.00%
Change,13.0,30.77%,46.15%,69.23%,23.08%,46.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,54.0,59.26%,18.52%,37.04%,9.26%,14.81%,12.96%,1.85%,3.70%,7.41%,0.00%,0.00%
Curve,7.0,42.86%,0.00%,57.14%,0.00%,0.00%,57.14%,0.00%,14.29%,28.57%,14.29%,14.29%
Cutter,8.0,25.00%,25.00%,50.00%,25.00%,12.50%,12.50%,0.00%,0.00%,12.50%,0.00%,0.00%
Split,5.0,40.00%,60.00%,60.00%,0.00%,60.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
