Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,49.0,20.41%,18.37%,75.51%,42.86%,16.33%,16.33%,6.12%,4.08%,4.08%,2.04%,2.04%
Sinker,17.0,11.76%,11.76%,88.24%,41.18%,11.76%,35.29%,23.53%,0.00%,11.76%,0.00%,0.00%
Change,14.0,21.43%,28.57%,78.57%,35.71%,28.57%,14.29%,7.14%,0.00%,7.14%,0.00%,0.00%
Slider,42.0,19.05%,26.19%,76.19%,21.43%,21.43%,33.33%,4.76%,11.90%,4.76%,11.90%,0.00%
Curve,13.0,53.85%,15.38%,46.15%,7.69%,15.38%,23.08%,15.38%,7.69%,0.00%,0.00%,0.00%
Cutter,4.0,0.00%,0.00%,100.00%,50.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%
Split,3.0,0.00%,66.67%,100.00%,33.33%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
