Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,18.0,11.11%,44.44%,61.11%,27.78%,16.67%,16.67%,11.11%,0.00%,5.56%,0.00%,0.00%
Sinker,20.0,25.00%,25.00%,55.00%,25.00%,5.00%,25.00%,10.00%,5.00%,10.00%,0.00%,0.00%
Change,3.0,0.00%,66.67%,66.67%,0.00%,33.33%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%
Slider,13.0,30.77%,53.85%,53.85%,0.00%,38.46%,15.38%,0.00%,0.00%,7.69%,7.69%,0.00%
Curve,2.0,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,2.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
