Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,63.0,26.98%,20.63%,66.67%,31.75%,15.87%,19.05%,12.70%,3.17%,1.59%,1.59%,0.00%
Sinker,18.0,16.67%,5.56%,83.33%,50.00%,5.56%,27.78%,16.67%,5.56%,5.56%,0.00%,0.00%
Change,6.0,16.67%,16.67%,66.67%,33.33%,0.00%,33.33%,0.00%,0.00%,33.33%,0.00%,33.33%
Slider,66.0,33.33%,22.73%,66.67%,10.61%,22.73%,33.33%,18.18%,9.09%,4.55%,1.52%,0.00%
Curve,25.0,36.00%,20.00%,60.00%,20.00%,16.00%,24.00%,16.00%,4.00%,4.00%,0.00%,0.00%
Cutter,9.0,11.11%,0.00%,88.89%,55.56%,0.00%,33.33%,0.00%,22.22%,11.11%,0.00%,0.00%
Split,8.0,50.00%,25.00%,50.00%,12.50%,25.00%,12.50%,12.50%,0.00%,0.00%,0.00%,0.00%
