Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,69.0,37.68%,24.64%,52.17%,28.99%,15.94%,7.25%,0.00%,0.00%,5.80%,1.45%,1.45%
Sinker,52.0,38.46%,11.54%,57.69%,26.92%,7.69%,23.08%,21.15%,1.92%,0.00%,0.00%,0.00%
Change,9.0,22.22%,22.22%,66.67%,11.11%,11.11%,44.44%,33.33%,0.00%,11.11%,0.00%,0.00%
Slider,82.0,32.93%,35.37%,59.76%,12.20%,28.05%,19.51%,9.76%,2.44%,4.88%,2.44%,1.22%
Curve,15.0,40.00%,33.33%,53.33%,13.33%,26.67%,13.33%,6.67%,0.00%,0.00%,6.67%,0.00%
Cutter,17.0,58.82%,11.76%,35.29%,23.53%,11.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Split,5.0,60.00%,20.00%,40.00%,0.00%,20.00%,20.00%,0.00%,0.00%,20.00%,0.00%,0.00%
