Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,63.0,22.22%,44.44%,53.97%,12.70%,23.81%,17.46%,3.17%,7.94%,6.35%,0.00%,1.59%
Sinker,42.0,21.43%,45.24%,35.71%,19.05%,2.38%,14.29%,9.52%,4.76%,0.00%,0.00%,0.00%
Change,7.0,42.86%,28.57%,28.57%,28.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,57.0,38.60%,38.60%,45.61%,12.28%,22.81%,10.53%,1.75%,3.51%,1.75%,3.51%,0.00%
Curve,5.0,60.00%,0.00%,40.00%,0.00%,0.00%,40.00%,20.00%,20.00%,0.00%,0.00%,0.00%
Cutter,13.0,46.15%,30.77%,30.77%,7.69%,7.69%,15.38%,7.69%,7.69%,0.00%,0.00%,0.00%
Split,1.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
