Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,11.0,45.45%,27.27%,45.45%,0.00%,18.18%,27.27%,9.09%,18.18%,0.00%,0.00%,0.00%
Sinker,8.0,37.50%,12.50%,50.00%,25.00%,0.00%,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%
Change,1.0,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,2.0,50.00%,50.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,3.0,66.67%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
