Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,51.0,23.53%,11.76%,76.47%,43.14%,11.76%,21.57%,9.80%,7.84%,3.92%,0.00%,0.00%
Sinker,18.0,27.78%,11.11%,66.67%,22.22%,5.56%,38.89%,22.22%,11.11%,5.56%,0.00%,0.00%
Change,8.0,50.00%,25.00%,50.00%,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,50.0,40.00%,18.00%,60.00%,14.00%,18.00%,28.00%,24.00%,4.00%,0.00%,0.00%,0.00%
Curve,19.0,36.84%,26.32%,42.11%,15.79%,5.26%,21.05%,0.00%,15.79%,5.26%,0.00%,0.00%
Cutter,3.0,33.33%,0.00%,66.67%,33.33%,0.00%,33.33%,0.00%,33.33%,0.00%,0.00%,0.00%
Split,3.0,33.33%,33.33%,66.67%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
