Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,166.0,39.76%,45.78%,22.29%,9.64%,7.83%,4.82%,1.20%,1.81%,0.60%,1.20%,0.00%
Sinker,107.0,33.64%,50.47%,19.63%,7.48%,3.74%,8.41%,2.80%,0.93%,3.74%,0.93%,0.00%
Change,9.0,11.11%,77.78%,22.22%,0.00%,11.11%,11.11%,11.11%,0.00%,0.00%,0.00%,0.00%
Slider,125.0,48.00%,40.80%,20.80%,6.40%,9.60%,4.80%,0.80%,1.60%,1.60%,0.80%,0.00%
Curve,32.0,43.75%,50.00%,18.75%,3.13%,12.50%,3.13%,0.00%,3.13%,0.00%,0.00%,0.00%
Cutter,24.0,45.83%,45.83%,16.67%,0.00%,8.33%,8.33%,0.00%,0.00%,4.17%,4.17%,0.00%
Split,2.0,0.00%,50.00%,100.00%,0.00%,50.00%,50.00%,0.00%,50.00%,0.00%,0.00%,50.00%
Knuckler,1.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
