Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,19.0,10.53%,36.84%,68.42%,31.58%,15.79%,21.05%,10.53%,5.26%,5.26%,0.00%,0.00%
Sinker,18.0,22.22%,11.11%,72.22%,33.33%,5.56%,33.33%,22.22%,11.11%,0.00%,0.00%,0.00%
Change,3.0,0.00%,66.67%,100.00%,33.33%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,28.0,28.57%,28.57%,64.29%,14.29%,21.43%,28.57%,14.29%,3.57%,10.71%,0.00%,7.14%
Curve,2.0,50.00%,0.00%,50.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%
Cutter,4.0,50.00%,0.00%,50.00%,25.00%,0.00%,25.00%,0.00%,25.00%,0.00%,0.00%,0.00%
Split,2.0,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
