Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,50.0,12.00%,34.00%,78.00%,38.00%,24.00%,16.00%,8.00%,2.00%,4.00%,2.00%,2.00%
Sinker,45.0,31.11%,8.89%,66.67%,20.00%,6.67%,40.00%,28.89%,8.89%,0.00%,2.22%,2.22%
Change,8.0,50.00%,12.50%,37.50%,12.50%,0.00%,25.00%,0.00%,12.50%,12.50%,0.00%,0.00%
Slider,60.0,23.33%,31.67%,63.33%,6.67%,18.33%,38.33%,10.00%,8.33%,16.67%,3.33%,3.33%
Curve,16.0,12.50%,68.75%,43.75%,0.00%,25.00%,18.75%,6.25%,6.25%,6.25%,0.00%,0.00%
Cutter,14.0,7.14%,35.71%,92.86%,35.71%,35.71%,21.43%,7.14%,7.14%,7.14%,0.00%,7.14%
Split,2.0,0.00%,50.00%,100.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Knuckler,1.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
