Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,40.0,42.50%,12.50%,50.00%,25.00%,7.50%,17.50%,2.50%,5.00%,10.00%,0.00%,0.00%
Sinker,5.0,60.00%,0.00%,40.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Change,21.0,38.10%,9.52%,61.90%,28.57%,9.52%,23.81%,14.29%,4.76%,4.76%,0.00%,0.00%
Slider,20.0,40.00%,15.00%,55.00%,25.00%,10.00%,20.00%,15.00%,5.00%,0.00%,0.00%,0.00%
Curve,8.0,12.50%,37.50%,87.50%,12.50%,37.50%,37.50%,25.00%,12.50%,0.00%,0.00%,0.00%
Cutter,10.0,60.00%,20.00%,40.00%,10.00%,20.00%,10.00%,10.00%,0.00%,0.00%,0.00%,0.00%
Split,11.0,45.45%,18.18%,54.55%,27.27%,18.18%,9.09%,9.09%,0.00%,0.00%,0.00%,0.00%
