Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,16.0,43.75%,18.75%,43.75%,25.00%,6.25%,12.50%,6.25%,6.25%,0.00%,0.00%,0.00%
Sinker,6.0,50.00%,0.00%,50.00%,16.67%,0.00%,33.33%,16.67%,16.67%,0.00%,0.00%,0.00%
Change,6.0,0.00%,83.33%,50.00%,0.00%,33.33%,16.67%,16.67%,0.00%,0.00%,0.00%,0.00%
Slider,7.0,14.29%,14.29%,85.71%,14.29%,14.29%,57.14%,28.57%,14.29%,14.29%,0.00%,0.00%
Curve,1.0,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,4.0,25.00%,0.00%,75.00%,25.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%
Split,4.0,25.00%,25.00%,50.00%,25.00%,0.00%,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%
