Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,32.0,31.25%,21.88%,62.50%,18.75%,18.75%,25.00%,9.38%,3.13%,12.50%,0.00%,3.13%
Sinker,7.0,42.86%,14.29%,57.14%,42.86%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Change,17.0,47.06%,17.65%,52.94%,11.76%,17.65%,23.53%,23.53%,0.00%,0.00%,0.00%,0.00%
Slider,21.0,61.90%,9.52%,38.10%,19.05%,9.52%,9.52%,4.76%,0.00%,4.76%,0.00%,0.00%
Curve,22.0,59.09%,9.09%,40.91%,9.09%,9.09%,22.73%,22.73%,0.00%,0.00%,0.00%,0.00%
Cutter,6.0,16.67%,16.67%,83.33%,16.67%,16.67%,50.00%,16.67%,16.67%,16.67%,0.00%,0.00%
Split,4.0,25.00%,25.00%,75.00%,25.00%,25.00%,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%
