Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,139.0,35.97%,17.99%,53.96%,24.46%,7.91%,21.58%,7.19%,2.88%,9.35%,2.16%,2.88%
Sinker,41.0,51.22%,9.76%,41.46%,7.32%,2.44%,31.71%,19.51%,7.32%,4.88%,0.00%,4.88%
Change,73.0,50.68%,15.07%,45.21%,9.59%,10.96%,24.66%,9.59%,4.11%,10.96%,0.00%,2.74%
Slider,67.0,34.33%,25.37%,55.22%,19.40%,14.93%,20.90%,10.45%,7.46%,2.99%,0.00%,2.99%
Curve,47.0,40.43%,17.02%,55.32%,17.02%,12.77%,25.53%,12.77%,4.26%,8.51%,0.00%,0.00%
Cutter,37.0,45.95%,16.22%,43.24%,21.62%,5.41%,16.22%,2.70%,2.70%,10.81%,0.00%,2.70%
Split,29.0,48.28%,24.14%,48.28%,13.79%,20.69%,13.79%,10.34%,3.45%,0.00%,0.00%,0.00%
Knuckler,1.0,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
