Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,64.0,46.88%,23.44%,45.31%,15.63%,15.63%,14.06%,4.69%,1.56%,6.25%,1.56%,3.13%
Sinker,8.0,25.00%,25.00%,50.00%,12.50%,0.00%,37.50%,37.50%,0.00%,0.00%,0.00%,0.00%
Change,31.0,41.94%,16.13%,51.61%,12.90%,9.68%,29.03%,9.68%,9.68%,9.68%,0.00%,0.00%
Slider,20.0,35.00%,10.00%,60.00%,25.00%,5.00%,30.00%,15.00%,5.00%,5.00%,5.00%,0.00%
Curve,7.0,14.29%,42.86%,85.71%,14.29%,42.86%,28.57%,28.57%,0.00%,0.00%,0.00%,0.00%
Cutter,10.0,50.00%,10.00%,50.00%,20.00%,10.00%,20.00%,0.00%,20.00%,0.00%,0.00%,0.00%
Split,15.0,40.00%,26.67%,60.00%,20.00%,26.67%,13.33%,6.67%,0.00%,6.67%,0.00%,6.67%
