Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,52.0,30.77%,23.08%,51.92%,30.77%,7.69%,13.46%,1.92%,1.92%,9.62%,0.00%,1.92%
Sinker,15.0,46.67%,26.67%,46.67%,6.67%,20.00%,20.00%,13.33%,6.67%,0.00%,0.00%,0.00%
Change,41.0,26.83%,24.39%,73.17%,12.20%,24.39%,36.59%,9.76%,14.63%,9.76%,2.44%,4.88%
Slider,28.0,39.29%,32.14%,53.57%,14.29%,25.00%,14.29%,3.57%,3.57%,7.14%,0.00%,0.00%
Curve,16.0,25.00%,18.75%,68.75%,25.00%,12.50%,31.25%,6.25%,18.75%,6.25%,0.00%,12.50%
Cutter,16.0,43.75%,0.00%,56.25%,50.00%,0.00%,6.25%,6.25%,0.00%,0.00%,0.00%,0.00%
Split,13.0,38.46%,15.38%,61.54%,30.77%,15.38%,15.38%,15.38%,0.00%,0.00%,0.00%,0.00%
