Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,23.0,52.17%,4.35%,47.83%,30.43%,4.35%,13.04%,8.70%,0.00%,4.35%,0.00%,0.00%
Sinker,4.0,50.00%,50.00%,25.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Change,9.0,66.67%,22.22%,33.33%,11.11%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,11.0,54.55%,18.18%,45.45%,18.18%,18.18%,9.09%,0.00%,9.09%,0.00%,0.00%,0.00%
Curve,13.0,53.85%,23.08%,46.15%,7.69%,23.08%,15.38%,7.69%,0.00%,7.69%,0.00%,0.00%
Cutter,2.0,50.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Split,8.0,62.50%,25.00%,37.50%,0.00%,25.00%,12.50%,0.00%,12.50%,0.00%,0.00%,0.00%
