Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,15.0,20.00%,26.67%,73.33%,26.67%,20.00%,26.67%,6.67%,13.33%,6.67%,0.00%,0.00%
Sinker,7.0,28.57%,28.57%,57.14%,14.29%,14.29%,28.57%,0.00%,14.29%,14.29%,0.00%,14.29%
Change,10.0,20.00%,40.00%,60.00%,0.00%,20.00%,40.00%,10.00%,0.00%,30.00%,0.00%,10.00%
Slider,13.0,15.38%,30.77%,76.92%,30.77%,23.08%,23.08%,7.69%,7.69%,7.69%,0.00%,0.00%
Curve,3.0,33.33%,0.00%,66.67%,0.00%,0.00%,66.67%,0.00%,66.67%,0.00%,0.00%,0.00%
Cutter,5.0,40.00%,40.00%,40.00%,20.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Split,7.0,28.57%,42.86%,57.14%,14.29%,28.57%,14.29%,0.00%,0.00%,14.29%,0.00%,0.00%
