Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,30.0,26.67%,20.00%,66.67%,30.00%,13.33%,23.33%,0.00%,20.00%,3.33%,0.00%,3.33%
Sinker,8.0,12.50%,0.00%,87.50%,37.50%,0.00%,50.00%,12.50%,12.50%,25.00%,0.00%,12.50%
Change,13.0,38.46%,15.38%,61.54%,30.77%,15.38%,15.38%,15.38%,0.00%,0.00%,0.00%,0.00%
Slider,16.0,50.00%,12.50%,43.75%,37.50%,6.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Curve,6.0,66.67%,33.33%,16.67%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,9.0,66.67%,0.00%,33.33%,22.22%,0.00%,11.11%,11.11%,0.00%,0.00%,0.00%,0.00%
Split,8.0,50.00%,12.50%,50.00%,12.50%,12.50%,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%
