Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,51.0,37.25%,21.57%,54.90%,13.73%,13.73%,27.45%,0.00%,9.80%,17.65%,0.00%,5.88%
Sinker,10.0,30.00%,50.00%,50.00%,0.00%,30.00%,20.00%,0.00%,10.00%,10.00%,0.00%,0.00%
Change,43.0,48.84%,13.95%,48.84%,18.60%,11.63%,18.60%,9.30%,0.00%,9.30%,0.00%,2.33%
Slider,16.0,31.25%,37.50%,62.50%,12.50%,31.25%,18.75%,0.00%,6.25%,6.25%,6.25%,0.00%
Curve,9.0,55.56%,22.22%,44.44%,11.11%,22.22%,11.11%,11.11%,0.00%,0.00%,0.00%,0.00%
Cutter,7.0,28.57%,0.00%,71.43%,42.86%,0.00%,28.57%,14.29%,14.29%,0.00%,0.00%,0.00%
Split,11.0,45.45%,0.00%,54.55%,0.00%,0.00%,54.55%,9.09%,18.18%,18.18%,9.09%,0.00%
