Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,38.0,18.42%,31.58%,68.42%,26.32%,18.42%,23.68%,5.26%,2.63%,13.16%,2.63%,2.63%
Sinker,6.0,16.67%,33.33%,50.00%,33.33%,0.00%,16.67%,0.00%,16.67%,0.00%,0.00%,0.00%
Change,12.0,50.00%,0.00%,50.00%,16.67%,0.00%,33.33%,8.33%,8.33%,16.67%,0.00%,8.33%
Slider,18.0,38.89%,5.56%,55.56%,27.78%,0.00%,27.78%,5.56%,11.11%,5.56%,5.56%,5.56%
Curve,14.0,21.43%,21.43%,78.57%,42.86%,21.43%,14.29%,7.14%,7.14%,0.00%,0.00%,0.00%
Cutter,6.0,16.67%,0.00%,83.33%,83.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Split,7.0,14.29%,14.29%,85.71%,57.14%,14.29%,14.29%,14.29%,0.00%,0.00%,0.00%,0.00%
