Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,346.0,25.43%,18.21%,71.10%,31.21%,15.03%,24.86%,9.25%,5.78%,8.09%,1.73%,0.00%
Sinker,26.0,26.92%,3.85%,73.08%,38.46%,3.85%,30.77%,23.08%,0.00%,7.69%,0.00%,0.00%
Change,12.0,16.67%,8.33%,83.33%,16.67%,8.33%,58.33%,25.00%,25.00%,8.33%,0.00%,0.00%
Slider,132.0,32.58%,18.18%,63.64%,21.97%,15.15%,26.52%,12.88%,5.30%,7.58%,0.76%,0.76%
Curve,140.0,31.43%,17.14%,64.29%,22.14%,15.00%,27.14%,14.29%,6.43%,5.00%,1.43%,0.71%
Cutter,85.0,25.88%,16.47%,61.18%,30.59%,4.71%,25.88%,8.24%,4.71%,10.59%,2.35%,0.00%
Split,195.0,29.74%,20.51%,68.21%,17.95%,18.46%,31.79%,18.97%,7.69%,4.10%,1.03%,1.54%
