Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,443.0,27.54%,22.57%,64.11%,27.31%,14.67%,22.35%,9.03%,5.64%,7.00%,0.68%,0.68%
Sinker,16.0,62.50%,6.25%,31.25%,18.75%,0.00%,12.50%,0.00%,0.00%,6.25%,6.25%,0.00%
Change,56.0,51.79%,10.71%,41.07%,17.86%,3.57%,19.64%,10.71%,7.14%,0.00%,1.79%,0.00%
Slider,113.0,33.63%,23.01%,56.64%,16.81%,14.16%,25.66%,12.39%,7.08%,5.31%,0.89%,0.89%
Curve,153.0,35.95%,37.25%,40.52%,13.73%,13.73%,13.07%,3.27%,3.27%,3.92%,2.61%,0.00%
Cutter,143.0,22.38%,19.58%,70.63%,34.97%,12.59%,23.08%,11.89%,2.80%,6.29%,2.10%,2.10%
Split,226.0,38.94%,20.80%,56.64%,15.93%,16.37%,24.34%,13.72%,6.64%,3.54%,0.44%,0.44%
