Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,384.0,44.01%,13.54%,53.39%,26.82%,11.20%,15.36%,5.47%,3.39%,5.47%,1.04%,0.52%
Sinker,14.0,57.14%,7.14%,42.86%,35.71%,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Change,3.0,66.67%,0.00%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Slider,122.0,36.07%,16.39%,59.84%,30.33%,12.30%,17.21%,7.38%,7.38%,1.64%,0.82%,0.00%
Curve,127.0,41.73%,22.05%,55.12%,18.11%,18.90%,18.11%,7.09%,6.30%,3.15%,1.57%,0.00%
Cutter,30.0,26.67%,13.33%,70.00%,30.00%,10.00%,30.00%,10.00%,13.33%,6.67%,0.00%,0.00%
Split,180.0,41.67%,15.00%,55.56%,21.11%,12.22%,22.22%,15.00%,4.44%,2.78%,0.00%,0.00%
