Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,250.0,32.80%,27.60%,45.20%,18.80%,6.00%,20.40%,6.00%,8.00%,6.40%,0.00%,0.00%
Sinker,22.0,45.45%,36.36%,22.73%,9.09%,4.55%,9.09%,4.55%,0.00%,0.00%,4.55%,0.00%
Slider,14.0,21.43%,57.14%,28.57%,14.29%,7.14%,7.14%,0.00%,0.00%,0.00%,7.14%,0.00%
Curve,16.0,37.50%,43.75%,18.75%,12.50%,0.00%,6.25%,0.00%,6.25%,0.00%,0.00%,0.00%
Cutter,70.0,22.86%,31.43%,54.29%,28.57%,8.57%,17.14%,5.71%,2.86%,7.14%,1.43%,0.00%
Split,25.0,32.00%,44.00%,40.00%,0.00%,16.00%,24.00%,16.00%,4.00%,0.00%,4.00%,0.00%
