Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,570.0,33.16%,30.70%,45.96%,19.47%,10.00%,16.14%,6.67%,4.74%,3.86%,0.88%,0.53%
Sinker,31.0,45.16%,22.58%,35.48%,12.90%,3.23%,19.35%,6.45%,6.45%,3.23%,3.23%,0.00%
Change,53.0,35.85%,32.08%,45.28%,7.55%,13.21%,24.53%,13.21%,7.55%,3.77%,0.00%,0.00%
Slider,74.0,37.84%,33.78%,36.49%,12.16%,9.46%,13.51%,2.70%,4.05%,4.05%,2.70%,0.00%
Curve,140.0,36.43%,51.43%,23.57%,7.86%,11.43%,4.29%,0.00%,1.43%,2.14%,0.71%,0.00%
Cutter,144.0,25.69%,29.17%,53.47%,25.69%,9.03%,19.44%,8.33%,2.78%,6.94%,1.39%,1.39%
Split,158.0,39.87%,31.01%,43.04%,12.66%,14.56%,16.46%,9.49%,0.63%,5.06%,1.27%,1.27%
