Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,627.0,38.76%,19.78%,52.63%,23.29%,11.96%,17.54%,5.74%,5.42%,5.10%,1.28%,0.48%
Sinker,31.0,38.71%,12.90%,54.84%,16.13%,6.45%,32.26%,16.13%,3.23%,9.68%,3.23%,0.00%
Change,57.0,54.39%,14.04%,42.11%,1.75%,10.53%,29.82%,10.53%,10.53%,7.02%,1.75%,0.00%
Slider,87.0,32.18%,22.99%,60.92%,25.29%,16.09%,19.54%,8.05%,5.75%,4.60%,1.15%,2.30%
Curve,224.0,31.70%,33.04%,50.45%,14.29%,16.07%,20.54%,10.27%,4.02%,4.91%,1.34%,0.45%
Cutter,204.0,33.33%,21.57%,55.88%,23.53%,11.27%,20.59%,6.86%,5.88%,6.37%,1.47%,0.49%
Split,301.0,38.21%,23.92%,54.82%,15.61%,17.28%,22.26%,16.94%,2.66%,1.66%,1.00%,0.00%
