Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,109.0,22.02%,70.64%,9.17%,3.67%,1.83%,3.67%,1.83%,0.00%,0.92%,0.92%,0.00%
Sinker,11.0,54.55%,45.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,5.0,60.00%,20.00%,20.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Split,1.0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
