Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,348.0,17.53%,15.23%,77.01%,38.51%,9.77%,28.74%,10.34%,7.18%,9.20%,2.01%,3.16%
Sinker,17.0,17.65%,0.00%,82.35%,35.29%,0.00%,47.06%,17.65%,0.00%,23.53%,5.88%,0.00%
Change,3.0,33.33%,33.33%,66.67%,0.00%,33.33%,33.33%,0.00%,0.00%,33.33%,0.00%,0.00%
Slider,47.0,17.02%,12.77%,76.60%,44.68%,6.38%,25.53%,2.13%,10.64%,10.64%,2.13%,2.13%
Curve,37.0,29.73%,16.22%,64.86%,32.43%,10.81%,21.62%,10.81%,0.00%,8.11%,2.70%,5.41%
Cutter,99.0,19.19%,17.17%,75.76%,38.38%,12.12%,25.25%,14.14%,0.00%,10.10%,1.01%,2.02%
Split,67.0,20.90%,16.42%,76.12%,26.87%,13.43%,35.82%,20.90%,2.99%,11.94%,0.00%,1.49%
