Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,463.0,36.07%,13.82%,60.69%,29.16%,10.80%,20.95%,9.29%,5.18%,4.97%,1.51%,1.08%
Sinker,20.0,30.00%,5.00%,70.00%,30.00%,5.00%,35.00%,20.00%,10.00%,5.00%,0.00%,5.00%
Change,5.0,0.00%,0.00%,100.00%,40.00%,0.00%,60.00%,40.00%,20.00%,0.00%,0.00%,0.00%
Slider,178.0,35.39%,19.66%,60.67%,23.03%,16.29%,21.35%,10.11%,5.62%,3.37%,2.25%,0.56%
Curve,181.0,44.75%,20.99%,53.59%,12.71%,19.89%,20.99%,12.15%,3.87%,2.76%,2.21%,0.00%
Cutter,80.0,25.00%,16.25%,65.00%,33.75%,7.50%,23.75%,12.50%,3.75%,5.00%,2.50%,1.25%
Split,237.0,32.07%,18.99%,66.67%,19.83%,17.72%,29.11%,16.88%,7.17%,4.22%,0.84%,0.00%
