Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,189.0,26.98%,20.11%,60.32%,28.04%,7.41%,24.87%,7.94%,6.88%,7.94%,2.12%,1.06%
Sinker,8.0,37.50%,12.50%,62.50%,0.00%,12.50%,50.00%,37.50%,0.00%,0.00%,12.50%,0.00%
Slider,3.0,0.00%,100.00%,66.67%,0.00%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Curve,5.0,20.00%,40.00%,40.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cutter,42.0,14.29%,21.43%,80.95%,35.71%,16.67%,28.57%,4.76%,11.90%,9.52%,2.38%,4.76%
Split,12.0,25.00%,25.00%,66.67%,16.67%,16.67%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%
