Pitch Type,Count,Ball,Strike,Swing,Foul,Whiffs,BIP,GB,LD,FB,PU,HR
Fourseam,1458.0,35.80%,39.57%,30.18%,14.20%,6.58%,9.60%,3.64%,2.88%,2.54%,0.55%,0.48%
Sinker,77.0,41.56%,28.57%,29.87%,15.58%,0.00%,14.29%,7.79%,1.30%,5.19%,0.00%,0.00%
Change,54.0,62.96%,27.78%,14.81%,1.85%,5.56%,7.41%,3.70%,1.85%,1.85%,0.00%,1.85%
Slider,151.0,37.09%,36.42%,33.11%,14.57%,7.28%,10.60%,3.97%,2.65%,2.65%,1.32%,0.00%
Curve,726.0,45.45%,40.91%,19.01%,6.75%,5.79%,6.61%,2.34%,0.96%,2.48%,0.83%,0.69%
Cutter,293.0,29.69%,36.86%,41.64%,14.68%,8.87%,17.06%,7.51%,5.46%,2.73%,1.37%,0.34%
Split,264.0,39.77%,32.95%,35.98%,14.02%,9.85%,12.88%,7.95%,2.65%,1.89%,0.38%,0.38%
